question,references,corpus_id
國學導讀課程的課堂參與及表現能力評估方式為何？,"[{""content"": ""作業撰寫 6 閱讀古籍基本知識---聲韻學 講述 討論 聯添等,國學導讀,台北,巨流圖書公司,2008年8月 二、參考書目： 1、高振鐸,古籍知識手冊,台北,萬卷樓 2、田博元等,國學導讀,台北,三民書局 3、程發軔,國學概論,台北,正中書局 劉師培國學發微點讀。四書點讀。 課堂參與及表現能力 作業撰寫 7 閱讀古籍基本知識---聲韻學 講述 討論 "", ""start_index"": 1721, ""end_index"": 1897}, {""content"": ""作業撰寫 6 閱讀古籍基本知識---聲韻學 講述 討論 聯添等,國學導讀,台北,巨流圖書公司,2008年8月 二、參考書目： 1、高振鐸,古籍知識手冊,台北,萬卷樓 2、田博元等,國學導讀,台北,三民書局 3、程發軔,國學概論,台北,正中書局 劉師培國學發微點讀。四書點讀。 課堂參與及表現能力 作業撰寫 7 閱讀古籍基本知識---聲韻學 講述 討論 "", ""start_index"": 1721, ""end_index"": 1897}, {""content"": ""作業撰寫 6 閱讀古籍基本知識---聲韻學 講述 討論 聯添等,國學導讀,台北,巨流圖書公司,2008年8月 二、參考書目： 1、高振鐸,古籍知識手冊,台北,萬卷樓 2、田博元等,國學導讀,台北,三民書局 3、程發軔,國學概論,台北,正中書局 劉師培國學發微點讀。四書點讀。 課堂參與及表現能力 作業撰寫 7 閱讀古籍基本知識---聲韻學 講述 討論 "", ""start_index"": 1721, ""end_index"": 1897}]",chunking_evaluation/evaluation_framework/general_evaluation_data/corpora/113_2_國語文學系_古籍導讀(二)[122077]_林登順.html
鄒慧英教師的教育研究法課程的學習目標包括哪些內容？,"[{""content"": ""課程目標 Learning Objectives This course is designed to present a general overview of the methods and procedures of research in education. Emphasis is placed on how to: 1.develop a sound understanding of the process of research in education 2.develop the necessary skills and the knowledge to identify and utilize the results of different types of research 3.develop the critical skills necessary to become an informed consumer of research literature 4.plan for educational research, 5.write a research proposal,6.develop the skills necessary to present research proposals and "", ""start_index"": 674, ""end_index"": 1247}]",chunking_evaluation/evaluation_framework/general_evaluation_data/corpora/113_2_教育學系_教育研究法[112156]_鄒慧英.html
教學科技的創新應用課程的評量方式中，哪些部分佔據了 54% 的比例？,"[{""content"": ""百分比Percentage 總和 Total 0 % 成績評量方式補充說明 1. 課堂參與、作業和反思 54 %(上課前請完成準備工作、上課準時到課，參與活動與討論)2. 作品(3D列印作品、3D空間設計) 26%3. 學期專案(模擬科技展/營隊的籌備) 20%4. 教學實務參與 5 %註: 第一週將講解課堂要求,以及詳細的教學計劃表, 缺席者請勿選讀該門課註: "", ""start_index"": 2735, ""end_index"": 2918}]",chunking_evaluation/evaluation_framework/general_evaluation_data/corpora/113_2_教育學系_教學科技的創新應用[112163]_吳純萍.html
凃柏原教師的科學教育評量課程中，學生將學習哪些評量理論與技術？,"[{""content"": ""此課程介紹科學教育評量的理論與技術，理論技術兼顧，利用實際練習來幫助學生學習如何發展評量工具。期望上完了這門課之後，學生對於科學教學評量相關的理論與實務，能有清楚的認識，並具備發展適合用在小學自然科教學的評量工具之能力。 先修 ( 前置 ) 課程 Prerequisite 彈性教學規劃 Flexible Teaching/Planning Schedules "", ""start_index"": 713, ""end_index"": 894}]",chunking_evaluation/evaluation_framework/general_evaluation_data/corpora/113_2_教育學系_科學教育評量[112174]_凃柏原.html
陳得文老師的社會心理學課程的評量方式有哪些?,"[{""content"": ""專題實作 30 % 討論 20 % 影片評析 10 % 總和 Total 100 % 成績評量方式 Grading 評量方式Grading 百分比Percentage 小組報告 30 % 期中研討報告 15 % 課堂參與 20 % 小考 20 % 個人書面報告 15 % 總和 Total 100 % 成績評量方式補充說明 小組報告內容為上一次上課主題，報告時間以5-7分鐘為原則。 "", ""start_index"": 3805, ""end_index"": 3997}]",chunking_evaluation/evaluation_framework/general_evaluation_data/corpora/113_2_教育學系_社會心理學[112180]_陳得文.html
李貞慧教師的國民小學教學實習課程的評量方式為何？,"[{""content"": ""respect intellectual property rights and do not illegally photocopy textbooks. ※ 教學方法 Teaching Method 教學方法Teaching Method 百分比Percentage 實習 60 % 討論 40 % 總和 Total 100 % 成績評量方式 Grading 評量方式Grading 百分比Percentage 隨堂考 20 % 心得 30 % 實習 50 % 總和 Total 100 % 成績評量方式補充說明 課程大綱補充資料 Supplementary Material of "", ""start_index"": 2925, ""end_index"": 3219}]",chunking_evaluation/evaluation_framework/general_evaluation_data/corpora/113_2_師資培育中心_國民小學教學實習[107040]_李貞慧.html
李郁緻教授的課程『獎勵及補助情形』的主要學習目標為何？,"[{""content"": ""教育哲學課程的目標在於引導學生深入思考教育問題的本質及其相關的哲學議題。課程將探討教育的目的、學習過程、知識架構以及教育與社會間的關係。學生將學習如何運用哲學的方法和語言分析教育現象，並理解教育在文化傳承和個人素養提升中的重要性。此外，課程強調教育過程的多面向，包括倫理學、政治學、心理學、美學及經濟學的影響，以幫助學生掌握教育的複雜性與挑戰。 先修 ( 前置 ) 課程 Prerequisite "", ""start_index"": 696, ""end_index"": 895}]",chunking_evaluation/evaluation_framework/general_evaluation_data/corpora/113_2_師資培育中心_教育哲學[107009]_李郁緻.html
閱讀教育課程的評量方式為何？,"[{""content"": ""Method 教學方法Teaching Method 百分比Percentage 講述 30 % 討論 30 % 問題導向學習 40 % 總和 Total 100 % 成績評量方式 Grading 評量方式Grading 百分比Percentage 期中書面報告 50 % 期末書面報告 50 % 總和 Total 100 % 成績評量方式補充說明 課程大綱補充資料 Supplementary "", ""start_index"": 2634, ""end_index"": 2832}]",chunking_evaluation/evaluation_framework/general_evaluation_data/corpora/113_2_師資培育中心_閱讀教育[107005]_陳光明.html
日文(二)課程的學習目標為何？,"[{""content"": ""合適的工作及經濟成長：促進包容且永續的經濟成長，讓每個人都有一份好工作 SDGs 17. 多元夥伴關係：建立多元夥伴關係，協力促進永續願景 課程目標 Learning Objectives 1.本課程著重於讓學生確實地對話，藉由小組對話與討論，克服說日文的恐懼。能夠充分理解與運用每單元之句型，進而提高學習日語之興趣與培養自然表達基礎生活日語之能力。2.因此在聽、說、讀、寫各學習領域均衡分配。本課程即將學習時間的敘述（時刻與星期）、簡單動詞句（動作發生的時間點的描述）、打電話、搭乘交通工具、購物、授受動詞等日常實用句型表達。3.同時適時地加入相關文法內容的影片觀賞為輔助教材，引發學習興"", ""start_index"": 652, ""end_index"": 947}]",chunking_evaluation/evaluation_framework/general_evaluation_data/corpora/113_2_英語學系_日文(二)[127070]_蘇純玉.html
柯昭蓉老師的數位語言教材製作課程中，學生將學習哪些軟體?,"[{""content"": ""for EFL learners. Students will be introduced to some theories about language materials development and apply those theories in L2 materials development. They will also be introduced to some existing software, be familiar with the application of those software, and develop language and teaching "", ""start_index"": 849, ""end_index"": 1145}]",chunking_evaluation/evaluation_framework/general_evaluation_data/corpora/113_2_英語學系_數位語言教材製作[127082]_柯昭蓉.html
白惠齡教師的英語加強班(大學)課程採用何種教學方法?,"[{""content"": ""※請尊重智慧財產權，不得非法影印教科書※ ※ Please respect intellectual property rights and do not illegally photocopy textbooks. ※ 教學方法 Teaching Method 教學方法Teaching Method 百分比Percentage 講述 30 % 討論 30 % 分享 25 % 問題導向學習 15 % 總和 Total 100 % 成績評量方式 Grading 評量方式Grading 百分比Percentage 課堂出席 15 % 平時作業(課堂參與+小考+作業) 25 % 期中考 "", ""start_index"": 3223, ""end_index"": 3517}]",chunking_evaluation/evaluation_framework/general_evaluation_data/corpora/113_2_英語學系_英語加強班(大學)[127092]_白惠齡.html
康雅禎教師的演講課程『英語Negotiation and Communication』的課程目標為何?,"[{""content"": ""Objectives This class is designed for students who want to develop skills in English public speaking. Each student will make speeches and defend his or her position on controversial issues in "", ""start_index"": 763, ""end_index"": 955}]",chunking_evaluation/evaluation_framework/general_evaluation_data/corpora/113_2_英語學系_演講[127068]_康雅禎.html
資優教育概論課程的主要學習目標為何？,"[{""content"": ""課程目標 Learning Objectives 1.探討資優教育理念、目的與實務現況。 2.瞭解資優學生身心特質、特殊需求、鑑定及安置方式。 3.認識資優教育課程方案、班級經營與教學策略。 4.認識特殊群體資優學生類型與教育輔導需求。 5.能結合資優教育的相關議題，撰寫主題報告。 先修 ( 前置 ) 課程 Prerequisite 特殊教育導論 彈性教學規劃 Flexible "", ""start_index"": 701, ""end_index"": 892}]",chunking_evaluation/evaluation_framework/general_evaluation_data/corpora/113_2_特殊教育學系_資賦優異教育概論[140066]_陳英豪.html
陳英豪教師的資賦優異學生教材教法(2)課程中，微型教學佔總評量百分比為多少？,"[{""content"": ""respect intellectual property rights and do not illegally photocopy textbooks. ※ 教學方法 Teaching Method 教學方法Teaching Method 百分比Percentage 課堂講述 10 % 討論 15 % 教學影片評析 35 % 微型教學 40 % 總和 Total 100 % "", ""start_index"": 3177, ""end_index"": 3368}]",chunking_evaluation/evaluation_framework/general_evaluation_data/corpora/113_2_特殊教育學系_資賦優異學生教材教法(2)[140086]_陳英豪.html
潘青林教師的『藝術行政與管理(二)』課程的主要學習目標為何？,"[{""content"": ""Objectives 此課程旨在幫助藝術創作學生，能對文化行政、藝術管理範疇有所了解，除了在藝術技能和創作理論方面建立穩固的基礎之外，進而透過藝術行政來實現藝術創作上的具體目標。 課程著重培養學生對當前藝術環境的觸覺、分析能力、解決問題的能力及批判思考能力，使學員能運用新思維及包裝策略，在經濟社會之多元發展下，讓創意和創造力更能得到發揮，增進團隊當中的溝通能力、藝術相關資訊的應"", ""start_index"": 684, ""end_index"": 874}]",chunking_evaluation/evaluation_framework/general_evaluation_data/corpora/113_2_視覺藝術與設計學系_藝術行政與管理(二)[191097]_潘青林.html
陳建發教師的畢業製作(二)課程中，學生將學習哪些能力?,"[{""content"": ""透過理論與實務探索藝術創作的目的、方法、步驟。2. 建構整理出個人在藝術創作上的學理及觀點，熟悉論文寫作方法。3. 運用媒材、技法、造形能力，完成作品創作；並實習展覽工作實務。4. 激發對藝術探索的熱情與創作的精神，並建立個人的獨特風格。 先修 ( 前置 ) 課程 Prerequisite 水墨造型與組合水墨材質與技法 彈性教學規劃 Flexible "", ""start_index"": 673, ""end_index"": 850}]",chunking_evaluation/evaluation_framework/general_evaluation_data/corpora/113_2_視覺藝術與設計學系_畢業製作(二)[191079]_陳建發.html
黃桂瀅教師的文化創意設計與出版(二)課程中，學生將學習哪些文創商品及商機的介紹?,"[{""content"": ""有淺漸深的介紹文創商品及商機從賞析及探討市面上出版品、設計旅店、音樂、電影、策展、博覽會、品牌企業形象的文創形象。延伸出自我創造的文創商品價值，及文創商品行銷。 先修 ( 前置 ) 課程 Prerequisite 彈性教學規劃 Flexible Teaching/Planning Schedules 課程大綱 Course Syllabus 週次Week 課程單元大綱Unit "", ""start_index"": 718, ""end_index"": 908}]",chunking_evaluation/evaluation_framework/general_evaluation_data/corpora/113_2_視覺藝術與設計學系_文化創意設計與出版(二)[191108]_黃桂瀅.html
體育學系鄭安城教師的排球課程中，學生將學習哪些運動項目動作技術？,"[{""content"": ""Course Syllabus 週次Week 課程單元大綱Unit 教學方式Instructional Method/Style/Teaching Style 參考資料或相關作業References or Related Materials 評量方式Grading 1 課程介紹、上課常規、分組 講授 2 排球準備姿勢與步法移動 講解示範、實務演練 3 低手傳球動作技術教學 講解示範、實務演練 4 低手傳球動作技術教學 講解示範、實務演練 5 高手傳球動作技術教學 講解示範、實務演練 6 高手傳球動作技術教學 講解示範、實務演練 7 接發球動作技術教學 講解示範、實務演練 8 扣球動作技術教學 講解示範、實務演練 9 期中考試 測驗 10 接扣球動作技術教學 講解示範、實務演練 11 舉球動作技術教學 講解示範、實務演練 12 救球動作技術教學 講解示範、實務演練 13 攔網動作技術教學 講解示範、實務演練 14 各種技術搭配訓練教學 講解示範、實務演練 15 各種技術搭配訓練教學 講解示範、實務演練 16 比賽實務與規則講解 講授、實務演練 17 自主練習 觀看比賽、自主練習 18 自主練習 觀看比賽、自主練習 單一課程對應校能力指標程度 The Degree to Which Single Course Corresponds to School Competence 編號No. 校核心能力School Core Competencies 符合程度Degree of conformity 1 公民力 (Citizen) 3 2 自學力 (Self-learning) 5 3 資訊力 (Information) 4 4 創造力 (Creativity) 4 5 溝通力 (Communication) 4 6 就業力(Employability) 5 單一課程對應系能力指標程度 The Degree to Which Single Course Corresponds to Department Competence 編號No. 類別Category 系核心能力Department Core Competencies 符合程度Degree of conformity 01 系所 "", ""start_index"": 823, ""end_index"": 1778}]",chunking_evaluation/evaluation_framework/general_evaluation_data/corpora/113_2_體育學系_排球[113068]_鄭安城.html
彭小惠教師的籃球專長訓練課程的成績評量方式為何？,"[{""content"": ""成績評量方式 Grading 評量方式Grading 百分比Percentage 作業撰寫 (包括訓練日誌與心得、指定作業等) 50 % 訓練參與與學習態度 (包括寒、暑訓及假日集訓比賽等) 30 % 期末考 20 % 總和 Total 100 % 成績評量方式補充說明 "", ""start_index"": 2745, ""end_index"": 2881}]",chunking_evaluation/evaluation_framework/general_evaluation_data/corpora/113_2_體育學系_專長訓練A(籃球)[113074]_彭小惠.html
體操(二)課程的評量方式為何？,"[{""content"": ""Method 百分比Percentage 講述，實際操作 100 % 總和 Total 100 % 成績評量方式 Grading 評量方式Grading 百分比Percentage 課堂參與 30 % 能力測驗 70 % 總和 Total 100 % 成績評量方式補充說明 課程大綱補充資料 Supplementary Material of Course Syllabus"", ""start_index"": 2283, ""end_index"": 2470}]",chunking_evaluation/evaluation_framework/general_evaluation_data/corpora/113_2_體育學系_體操(二)[113064]_黃國明.html
趙敏妏教師的運算思維與程式設計課程的評量方式為何？,"[{""content"": ""專題實作 60 % 分組討論 10 % 總和 Total 100 % 成績評量方式 Grading 評量方式Grading 百分比Percentage 平時作業、出席與課堂參與 40 % 期中考 30 % 期末考 30 % 總和 Total 100 % 成績評量方式補充說明 課程大綱補充資料 Supplementary Material of Course Syllabus"", ""start_index"": 2624, ""end_index"": 2812}]",chunking_evaluation/evaluation_framework/general_evaluation_data/corpora/113_2_綠色能源科技學系_運算思維與程式設計[183075]_趙敏妏.html
綠色能源科技學系的中文閱讀與書寫(二)課程的學生評量方式有哪些?,"[{""content"": ""-期中考週的閱讀練習測驗。5.出席率與課堂表現-就出席次數與課堂的參與表現綜合評分。 課程大綱補充資料 Supplementary Material of Course Syllabus"", ""start_index"": 3964, ""end_index"": 4057}]",chunking_evaluation/evaluation_framework/general_evaluation_data/corpora/113_2_綠色能源科技學系_中文閱讀與書寫(二)[183039]_蘇淑貞.html
陳居毓老師的訊號與系統課程中，學生將學習哪些基本概念？,"[{""content"": ""1.使學生瞭解訊號的分析及系統分類。2.使學生學習時域及頻域訊號分析。3.使學生熟悉連續及離散系統等基本概念。4.使學生學會電腦模擬軟體Matlab。5.使學生學會在通訊、訊號處理及控制等領域之基本應用。 先修 ( 前置 ) 課程 Prerequisite Engineering Math.Calculus 彈性教學規劃 Flexible Teaching/Planning Schedules "", ""start_index"": 733, ""end_index"": 932}]",chunking_evaluation/evaluation_framework/general_evaluation_data/corpora/113_2_電機工程學系_訊號與系統[182081]_陳居毓.html
程式設計與實習(二)課程的學習目標為何？,"[{""content"": ""little or no programming experience. It aims to provide students with an understanding of the role computation can play in solving problems. It also aims to help students to feel justifiably "", ""start_index"": 797, ""end_index"": 988}, {""content"": ""computation can play in solving problems. It also aims to help students to feel justifiably confident of their ability to write small programs that allow them to accomplish useful goals. The "", ""start_index"": 896, ""end_index"": 1087}]",chunking_evaluation/evaluation_framework/general_evaluation_data/corpora/113_2_電機工程學系_計算機程式設計與實習(二)[182076]_梁家銘.html
臺灣宗教民俗史(二)課程的教學方法有哪些？,"[{""content"": ""respect intellectual property rights and do not illegally photocopy textbooks. ※ 教學方法 Teaching Method 教學方法Teaching Method 百分比Percentage 講述 40 % 影片欣賞 20 % 專題實作 20 % 討論 10 % 分享 10 % 總和 Total 100 % "", ""start_index"": 3367, ""end_index"": 3562}]",chunking_evaluation/evaluation_framework/general_evaluation_data/corpora/113_2_文化與自然資源學系_臺灣宗教民俗史(二)[134078]_邱麗娟.html
陳一峰教師的文化哲學課程的評量方式為何?,"[{""content"": ""% 總和 Total 100 % 成績評量方式 Grading 評量方式Grading 百分比Percentage 總和 Total 0 % 成績評量方式補充說明 成績評量：1、自由書寫、研究報告與口試2、參酌上課情況自由書寫、研究報告與口試：一、自由書寫：由同學自行寫作，不拘形式與題材。於期中〔第9周；04/27〕繳交。二、研究報告：就同學的「自由書寫」中發掘題材，請同學進一步研究並寫成書面報告，於第15周〔06/08〕繳交。三、口試：就同學的「研究報告」進行口試，將安排於第17與18周。 課程大綱補充資料 Supplementary Material "", ""start_index"": 2823, ""end_index"": 3104}]",chunking_evaluation/evaluation_framework/general_evaluation_data/corpora/113_2_文化與自然資源學系_文化哲學[134053]_陳一峰.html
畢業專題實作(一)課程的成績評量方式為何？,"[{""content"": ""成績評量方式補充說明 評量種類：專題作品之完成度(30%)、貢獻度(20%)、實用性(20%)；專題報告之完整性及呈現品質(30%)。考試範圍：每一組學生之專題作品。考試時間：平時進行進度管控，期末進行評分。 "", ""start_index"": 2976, ""end_index"": 3081}]",chunking_evaluation/evaluation_framework/general_evaluation_data/corpora/113_2_資訊工程學系_畢業專題實作(一)[159054]_高啟洲.html
數位系統實驗課程的學習目標為何？,"[{""content"": ""Related Materials 評量方式Grading 1 圖形編輯設計法與實驗板簡介 課堂講解學生實際操作 2 組合邏輯電路與VHDL基本語法 課堂講解學生實際操作 3 組合邏輯電路與VHDL基本語法 課堂講解學生實際操作 4 序向邏輯電路與狀態機設計 課堂講解學生實際操作 5 序向邏輯電路與狀態機設計 課堂講解學生實際操作 6 亂數產生器實習 課堂講解學生實際操作 "", ""start_index"": 964, ""end_index"": 1152}]",chunking_evaluation/evaluation_framework/general_evaluation_data/corpora/113_2_資訊工程學系_數位系統實驗[159047]_高啟洲.html
黃意雯老師的 人工智慧的教學應用 課程中，學生將學習哪些AI工具?,"[{""content"": ""本課程旨在探討人工智慧（AI）技術於教學中的應用，並提供實際運用AI技術於課堂的理論基礎與實務操作能力。AI技術的迅速發展，其在教育領域的應用不僅改變了教學方式，也改變了學習者的學習過程。本課程探討如何利用AI輔助教學設計、學生評量以及提升學習成效。此外，學習者將有機會學習如何使用各種AI工具來設計互動式教學活動，並理解AI技術的道德議題、挑戰與未來發展趨勢。1. "", ""start_index"": 741, ""end_index"": 925}]",chunking_evaluation/evaluation_framework/general_evaluation_data/corpora/113_2_數位學習科技學系_人工智慧的教學應用[155087]_黃意雯.html
黃意雯教師的系統分析與設計課程的評量方式有哪些？,"[{""content"": ""Method 百分比Percentage 講述 40 % 專題實作 30 % 討論 20 % 個案研討 10 % 總和 Total 100 % 成績評量方式 Grading 評量方式Grading 百分比Percentage 期末考 30 % 個人平時成績 20 % 小組作業 20 % 小組專案 30 % 總和 Total 100 % 成績評量方式補充說明 個人平時成績包含: "", ""start_index"": 2603, ""end_index"": 2793}]",chunking_evaluation/evaluation_framework/general_evaluation_data/corpora/113_2_數位學習科技學系_系統分析與設計[155060]_黃意雯.html
許皓捷老師的多變量統計分析課程中，學生將學習哪些統計方法?,"[{""content"": ""生態現象經常是錯綜複雜而難以用單一因子予以充分解釋的；例如森林鳥種多樣性可能同時與年均溫、生態系初級生產力、植物種類多樣性、森林各高度層的枝葉覆蓋度、捕食者…等等因素有關。多變量統計分析同時處理多個因子，是近代生態學研究不可或缺的工具。本課程介紹生態學研究常用的多變量統計方法及R軟體操作。本課程教學重點不在統計原理或公式推導，而是著重各種統計方法的觀念介紹與電腦軟體操作。同學修習之後應能：(1)了"", ""start_index"": 668, ""end_index"": 868}, {""content"": ""Method/Style/Teaching Style 參考資料或相關作業References or Related Materials 評量方式Grading 1 課程簡介 2 課程簡介/multiple regression 3 MANOVA 4 ANOCOVA & MANCOVA 5 Discriminant analysis 6 Principal component analysis 7 Factor analysis 8 Canonical correlation analysis 9 期中考 10 Logistic regression 11 "", ""start_index"": 1044, ""end_index"": 1326}]",chunking_evaluation/evaluation_framework/general_evaluation_data/corpora/113_2_生態暨環境資源學系_多變量統計分析[156069]_許皓捷.html
謝宗欣教師的入侵植物課程中，學生將學習哪些生態學基本理論?,"[{""content"": ""of conformity 01 系所 具備人文關懷與溝通協調能力 0 02 系所 具備邏輯思考與運用科學知識之能力 0 03 系所 具備資料收集、報告寫作與口頭發表之能力 0 04 系所 理解生態學基本理論與在相關領域之運用 0 05 系所 具備至少一種可就業或升學之生態學領域相關專長 0 單一課程對應院能力指標程度 The Degree to Which Single Course "", ""start_index"": 1694, ""end_index"": 1889}]",chunking_evaluation/evaluation_framework/general_evaluation_data/corpora/113_2_生態暨環境資源學系_入侵植物[156084]_謝宗欣.html
